request_id,journey_id,portion_id,flight_id,RBD,datetime,DepartureAirport,ArrivalAirport,DepartureTime,Cabin,State
0,0,0,0,J,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,J,0
0,0,0,0,C,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,J,0
0,0,0,0,D,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,J,0
0,0,0,0,R,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,J,0
0,0,0,0,I,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,J,0
0,0,0,0,U,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,J,0
0,0,0,0,Y,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,9
0,0,0,0,B,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,9
0,0,0,0,H,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,9
0,0,0,0,K,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,9
0,0,0,0,M,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,9
0,0,0,0,L,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,9
0,0,0,0,F,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,0
0,0,0,0,V,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,9
0,0,0,0,S,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,9
0,0,0,0,G,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,0
0,0,0,0,Z,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,0
0,0,0,0,N,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,6
0,0,0,0,Q,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,3
0,0,0,0,O,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,0
0,0,0,0,A,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,0
0,0,0,0,X,2023-02-01T14:36:16.065254+01:00,JFK,MAD,2023-02-02T10:10:00,Y,0
0,1,1,1,J,2023-02-01T14:36:16.065254+01:00,JFK,BCN,2023-02-02T08:40:00,J,7
0,1,1,1,C,2023-02-01T14:36:16.065254+01:00,JFK,BCN,2023-02-02T08:40:00,J,7
0,1,1,1,D,2023-02-01T14:36:16.065254+01:00,JFK,BCN,2023-02-02T08:40:00,J,7
0,1,1,1,R,2023-02-01T14:36:16.065254+01:00,JFK,BCN,2023-02-02T08:40:00,J,7
0,1,1,1,I,2023-02-01T14:36:16.065254+01:00,JFK,BCN,2023-02-02T08:40:00,J,7
0,1,1,1,W,2023-02-01T14:36:16.065254+01:00,JFK,BCN,2023-02-02T08:40:00,W,7
0,1,1,1,E,2023-02-01T14:36:16.065254+01:00,JFK,BCN,2023-02-02T08:40:00,W,7
0,1,1,1,T,2023-02-01T14:36:16.065254+01:00,JFK,BCN,2023-02-02T08:40:00,W,7
0,1,1,1,Y,2023-02-01T14:36:16.065254+01:00,JFK,BCN,2023-02-02T08:40:00,Y,7
