request_id,datetime,DepartureAirport,journey_id,ArrivalAirport,DepartureTime,portion_id,Cabin,RBD,State,flight_id
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,J,J,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,J,C,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,J,D,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,J,R,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,J,I,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,J,U,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,Y,9,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,B,9,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,H,9,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,K,9,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,M,9,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,L,9,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,F,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,V,9,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,S,9,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,G,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,Z,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,N,6,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,Q,3,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,O,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,A,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,0,MAD,2023-02-02T10:10:00,0,Y,X,0,0
0,2023-02-01T14:36:16.065254+01:00,JFK,1,BCN,2023-02-02T08:40:00,1,J,J,7,1
0,2023-02-01T14:36:16.065254+01:00,JFK,1,BCN,2023-02-02T08:40:00,1,J,C,7,1
0,2023-02-01T14:36:16.065254+01:00,JFK,1,BCN,2023-02-02T08:40:00,1,J,D,7,1
0,2023-02-01T14:36:16.065254+01:00,JFK,1,BCN,2023-02-02T08:40:00,1,J,R,7,1
0,2023-02-01T14:36:16.065254+01:00,JFK,1,BCN,2023-02-02T08:40:00,1,J,I,7,1
0,2023-02-01T14:36:16.065254+01:00,JFK,1,BCN,2023-02-02T08:40:00,1,W,W,7,1
0,2023-02-01T14:36:16.065254+01:00,JFK,1,BCN,2023-02-02T08:40:00,1,W,E,7,1
0,2023-02-01T14:36:16.065254+01:00,JFK,1,BCN,2023-02-02T08:40:00,1,W,T,7,1
0,2023-02-01T14:36:16.065254+01:00,JFK,1,BCN,2023-02-02T08:40:00,1,Y,Y,7,1
